no,Tgl_Iklan,url,harga_juta,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
13,29/03/21,https://www.rumah123.com/properti/makassar/hos2361629/,8100,Makassar,200,200,4,3,1,1,0,0,5500,SHM,Rumah badan lebar 10 kawasan pantai ,"Rumah badan 10x20 dan bangunan 2Lt. Masih lebih tanah belakang untuk taman. Di Kawasan mall termewah Makassar, pantai Tanjung Bunga, Trans Studio Mall Makassar"
14,28/03/21,https://www.rumah123.com/properti/makassar/hos8089314/,1038,Makassar,84,73,2,2,0,0,0,0,2200,SHM,Rumah Mewah Lokasi Premium Kota Makassar ,"*Cluster Green Crystal summarecon Mutiara Makassar* *Lok. Exit Tol Ir. soetami KM 8* UNIT A Ukuran 614 UNIT B Ukuran 814 Unit C(Hook) Ukuran 814 Dilengkapi Dengan: Jaringan Internet Cepat Fiber to the Home Akses Tol Langsung Ir Sutami Club house yang dilengkapi dengan Muliti Function Hall, Swimming Pool dan Children Playground Utilitas Bawah Tanah Town Management Professional , CCTV dan Security 24 Jam *Dilengkapi Juga Dengan Smart Home System* "
15,25/03/21,https://www.rumah123.com/properti/makassar/hos8080182/,875,Makassar,67,80,4,2,0,0,0,0,2200,SHM,rumah mewah minimalis TYPE 80 4 kamar dalam kota Makassar ,Launch Veteran Selatan Hanya 10 Unit # Type 80/67 # 4 Kamar tidur 2 kamar mandi  # Hanya 875 jt Khusus Pembelian cash Bonus : #Kanopi #kitchen set #Tandon Air #Ac 4 Unit(Daikin) #Tv Kabinet #Kompor Tanam + cooker hood #Dinding Hvl #Sofa #Lemari Tiap Kamar NB : Bonus Senilai 100 jt Indent 12 bulan Selain pembelian cash tdk mendapatkan seperti bonus di atas info lengkap hub ARDi property99 Bisa TLP/wa No profil 
16,25/03/21,https://www.rumah123.com/properti/makassar/hos8077134/,1045,Makassar,84,92,3,2,0,0,0,0,2200,SHM,GREEN CRISTAL &#;Summarecon Mutiara Makassar&#34;,"GRAND LOUNCING : ""Green Cristal"" Setelah sukses dengan penjualan BLUE CRISTAL yang sukses dengan angka penjualan 100% di setiap tahap penjualannya, dan kini hadir dengan konsep lebih Baik lagi dengan di lengkapi SMART HOME yg menunjang Sebagai Rumah Pintar. SELLING POINTNYA Nilai Kenaikan 15% dalam setahun, Lingkungan Hjau, Kawasan CBD, Dan masih banyak lagi "
17,25/03/21,https://www.rumah123.com/properti/makassar/hos8076059/,1200,Makassar,105,210,4,2,0,0,0,0,1300,SHM,"rumah sudut, siap huni, cocok usaha, cafe, 2 lantai",Rumah Dijual Makassar rumah 2 lantai kamar 4 kamar mandi 2 7m x 15m full bangunan
18,25/03/21,https://www.rumah123.com/properti/makassar/hos8075963/,1160,Makassar,87,103,4,2,1,1,0,0,0,SHM,Rumah Mewah Strategis Lokasi Premium,"*Rumah 2 Lantai Cluster Beryl Summarecon Mutiara Makassar* Type Beryl 7 Ukuran 7x12.5 Harga 1,1 M Dimana Tiap Cluster Di Lengkapi Dengan : Jaringan Internet Cepat Fiber to the Home, Akses Tol Langsung Ir Sutami, Club house yang dilengkapi dengan Multi function Hall, Swimming Pool dan Children Playground, Utilitas Bawah Tanah , Town Management Professional, CCTV dan security 24 Jam"
19,25/03/21,https://www.rumah123.com/properti/makassar/hos8075891/,2000,Makassar,144,162,3,3,1,1,0,0,3300,none,Rumah Cantik Lokasi Premium Kota Makassar ,"Hunian 2 Lantai Konsep Classic Timeless Lokasi Premium Summarecon Mutiara Makassar. Lok. Exit Tol Ir. Soetami KM 8 Cluster Neo Jade Type Jade 8 (1 Unit) Luas Tanah 818 Harga 2M Dapatkan Logam Mulia 25 Gram dan Dapatkan Juga Lucky Draw Hadiah Menarik *dilengkapi Dengan Fasilitas Tiap Cluster:* Jaringan Fiber To The Home & Utilitas Bawah Tanah, One Gate System dan Face Recognition, Club House yg di Lengkapi Swimming Pool dan Children Playground Town Management Profesional + CCTV 24 Jam *Unit Terbatas*"
20,24/03/21,https://www.rumah123.com/properti/makassar/hos8075661/,340,Makassar,84,50,2,1,0,0,0,0,1300,SHM,"Spesial Promo Khusus Untuk PNS, POLRI dan BUMN","GEBYAR PROMO PENGHABISAN SPESIAL PENAWARAN KHUSUS PNS, POLRI, BUMN dan Pegawai Perusaan Status Tetap#  Spesial DP Hanya 4 Jt Dengan Syarat Belum Memiliki Angsuran Kredit Berjalan di Bank INFO DETAIL TLP/WA 085-340-522-007 Bit.ly/37CUMTN (SELAMA KOUTA UNIT TERSEDIA) *(////) ====================================== 10% 4! 24 =====================================  ir (. )  * ====================================== Telp/WA 085-340-522-007 Griya Kenari Moncongloe Makassar #Type 4/78# (SISA 4 Unit) #Type 50/84# (SISA 4 Unit) (2 Kamar Tidur + 1 Kamar Mandi) Harga : Rp. 351.500.000 jt Lokasi Super Strategis +Pinggir Jalan Poros Trans Mongcongloe +Dekat Dengan SD, SMP dan SMA +Akses Dekat Dari Kota Rs Wahidin, Rs Daya, POLDA dan Bandara Hasanuddin +Berdampingan Dengan Kantor Camat +Berdampingan Dengan Pesantren IMMIM Putra + Pengembangan Kota Mandiri Ring Road Mamminasata +Area BTP, Perintis Kemerdekaaan dan D"
21,24/03/21,https://www.rumah123.com/properti/makassar/hos8073113/,2900,Makassar,202,200,4,4,0,0,0,0,2200,SHM,"rumah mewah, kantor, hunian, poros jalan, depan indomaret","Rumah Dijualsewa Makassar rumah mewah,2 lantai ,4 kamar tidur luas,4 kamar mandi,posisi sudut, berhadapan indomaret,4 unit AC"
22,24/03/21,https://www.rumah123.com/properti/makassar/hos8072877/,5500,Makassar,495,200,4,3,1,1,0,0,2200,SHM,Rumah Tengah Kota Untuk Tempat Tinggal,"Rumah Dijualsewa Makassar, k.tidur 4+1,k. mandi 3+1"
